src,dst
7540,2521
7301,2773
3534,2781
5839,2500
4590,2631
5543,2616
4176,2159
6831,2848
8045,2065
3443,2964
8011,2938
2541,2981
9122,2982
6811,2278
9918,2631
1210,2513
6484,2565
4583,2917
9551,2196
9829,2602
2323,2113
4557,2083
3418,2816
6733,2018
6288,2849
3333,2337
3140,2140
2874,2747
6951,2002
6383,2478
10825,2204
7205,2031
9350,2214
7937,2427
8253,2519
8005,2781
2785,2053
5582,2197
1516,2799
8342,2250
10165,2021
1528,2896
1183,2200
7084,2273
7073,2714
10288,2266
9563,2861
2190,2343
2541,2206
9520,2732
4756,2446
6975,2806
4055,2169
2443,2338
9507,2423
7863,2695
4849,2920
10280,2745
4929,2440
1337,2864
5974,2758
7561,2434
10499,2593
4378,2176
1307,2832
4324,2648
6707,2272
3328,2452
3308,2744
5285,2321
1148,2114
3109,2407
1204,2953
10442,2384
5146,2045
8510,2217
6439,2615
10861,2932
2674,2548
3177,2928
1131,2244
8467,2584
5766,2383
7772,2303
10242,2396
5137,2428
2911,2751
10903,2711
5097,2017
7967,2824
7418,2587
10894,2142
5961,2429
2320,2388
3495,2637
4310,2656
6233,2981
3624,2223
8492,2546
5407,2646
1285,2301
3261,2435
2256,2496
7508,2344
6047,2027
3940,2220
8088,2247
8846,2329
5045,2749
5406,2233
7357,2387
5552,2884
1127,2009
3751,2913
10063,2914
7340,2003
3154,2307
7211,2656
9606,2857
10327,2175
2772,2408
6810,2897
6228,2215
5139,2065
4023,2753
10707,2921
4433,2821
9440,2765
10910,2422
8241,2038
6186,2993
2475,2790
8816,2595
1141,2863
4479,2811
8265,2962
4889,2874
2083,2370
10333,2785
8307,2556
7390,2501
10515,2530
7413,2599
9798,2710
10619,2713
7283,2922
6666,2014
9176,2986
7332,2516
4672,2313
10942,2840
4104,2833
2315,2955
8310,2033
2429,2609
3822,2713
4924,2357
1396,2235
1935,2032
1947,2257
1647,2063
1158,2060
9932,2859
1748,2761
4920,2102
7740,2479
2611,2090
3645,2131
3222,2489
9946,2308
8690,2171
1786,2042
8627,2418
4597,2124
8879,2373
10688,2532
5187,2973
4418,2704
2654,2072
1239,2968
7328,2993
9065,2969
10278,2596
4720,2424
2873,3000
4095,2085
3423,2418
3539,2227
5141,2247
4540,2350
2935,2570
1358,2062
3846,2418
9249,2910
10003,2562
5962,2466
6176,2765
10338,2932
7383,2072
6509,2225
2731,2396
3733,2680
4039,2696
9535,2057
4781,2620
6206,2241
6799,2141
5464,2814
10804,2399
5970,2125
8123,2830
6266,2300
2448,2127
6678,2110
7403,2359
5388,2914
5489,2874
7754,2222
9003,2742
7338,2269
6455,2729
2790,2367
3747,2288
8340,2389
3878,2946
2797,2992
2387,2231
10815,2084
5016,2498
3416,2597
2326,2161
4109,2232
6633,2641
2702,2875
8293,2097
2492,2239
3604,2109
8439,2259
8740,2423
10866,2235
4577,2105
5981,2420
4335,3000
6213,2164
6693,2729
8534,2498
9104,2707
5543,2121
1343,2645
6743,2351
7409,2398
9522,2967
6474,2318
7212,2272
8585,2712
2898,2896
9365,2618
4444,2410
7933,2195
3937,2857
4078,2646
6272,2667
8148,2361
8346,2429
8828,2536
3903,2705
1772,2092
10260,2879
4031,2887
9709,2031
7045,2204
6692,2442
6489,2412
9161,2202
2836,2359
5848,2728
1712,2685
9363,2117
4945,2803
10702,2797
9787,2497
9775,2554
6963,2840
5341,2853
1018,2803
2999,2180
2260,2788
3431,2949
10811,2525
6156,2959
4713,2635
3058,2266
9509,2650
5330,2061
3582,2906
4923,2641
1653,2908
1187,2195
6441,2185
4315,2606
10778,2291
6020,2798
8535,2648
8060,2660
5116,2685
7683,2524
8327,2933
7915,2057
6163,2716
10135,2865
8619,2778
4409,2809
4771,2262
9740,2176
10582,2623
3616,2354
5857,2018
2832,2806
8126,2333
5047,2488
3295,2806
1411,2518
6397,2107
6626,2337
4082,2801
1130,2846
4341,2969
2189,2570
1852,2269
2403,2506
10886,2630
9870,2302
3901,2860
5715,2561
6472,2185
2224,2351
4474,2891
3341,2355
1422,2494
7972,2540
6977,2946
10737,2510
5133,2208
3541,2751
5807,2168
10177,2922
6330,2238
2819,2317
5415,2840
9661,2713
4511,2661
8169,2419
9046,2510
3990,2493
3274,2710
4000,2474
2969,2004
3702,2673
8337,2105
1102,2770
4431,2828
6172,2739
6634,2318
7838,2466
5022,2047
7745,2221
3891,2672
7024,2424
10622,2570
10848,2055
10731,2595
4710,2685
6548,2105
3871,2799
5180,2933
6765,2984
3587,2564
1930,2914
7708,2044
9865,2759
10944,2857
6673,2349
6098,2295
1026,2503
3939,2543
8308,2598
10677,2036
10248,2793
4718,2777
6323,2890
7266,2098
9359,2950
3629,2641
1103,2815
9350,2358
5271,2487
3575,2234
5877,2173
3351,2608
2445,2035
7522,2521
1825,2975
6664,2967
7591,2126
6823,2794
3158,2049
1005,2289
5329,2300
3581,2791
2417,2344
5392,2553
7474,2500
10577,2855
8087,2163
10102,2976
3121,2268
3314,2444
3544,2396
10046,2545
10942,2595
8757,2378
9529,2339
8258,2609
2497,2108
10459,2101
2952,2853
6824,2868
5537,2442
3951,2298
1687,2885
5973,2612
7866,2733
1823,2027
2525,2947
4089,2876
2675,2396
8212,2066
6733,2418
3174,2968
2885,2098
8188,2212
10105,2176
7024,2984
4397,2264
3514,2945
8602,2899
5714,2643
8448,2470
4929,2528
7565,2169
9630,2710
8137,2283
5373,2618
5087,2634
3946,2721
7912,2903
3211,2009
5485,2655
1263,2954
6172,2884
5405,2560
9144,2362
10589,2876
9611,2667
7706,2349
9180,2982
2863,2501
10222,2631
10304,2813
9706,2324
4996,2200
3274,2633
3412,2694
9159,2921
1383,2946
5202,2743
9461,2902
3611,2347
10789,2477
3433,2184
9399,2476
6909,2675
6893,2955
10646,2919
9212,2913
5399,2736
6859,2068
2846,2427
6898,2668
6064,2353
4255,2275
10159,2841
3195,2707
8394,2437
6625,2049
5994,2656
7250,2153
8378,2848
5126,2679
6226,2572
7900,2320
7406,2061
9001,2041
7476,2943
8847,2187
6435,2956
2730,2203
6491,2076
1998,2224
7913,2106
4586,2097
5189,2706
3312,2146
3153,2163
5591,2182
6466,2204
7776,2900
6332,2479
9423,2912
10566,2863
10234,2901
4345,2084
8553,2855
10563,2752
4535,2342
10930,2222
10510,2256
6907,2604
7141,2250
5140,2278
9824,2930
2077,2141
1741,2804
8615,2099
2458,2071
5160,2959
4825,2888
9314,2058
3130,2262
5058,2783
8993,2826
8857,2861
9276,2073
8004,2038
1944,2630
10962,2300
9692,2191
6625,2692
5928,2526
4470,2756
2241,2831
6198,2425
3480,2740
8153,2364
7696,2083
1309,2001
1837,2821
1207,2139
8298,2743
4871,2949
3751,2124
7612,2472
1818,2959
5750,2792
6157,2860
1154,2755
7375,2595
1710,2793
7931,2165
5135,2729
7971,2219
4997,2056
5044,2190
4005,2401
1487,2602
2736,2922
9837,2647
2339,2671
9680,2775
1770,2913
3202,2916
9567,2572
2747,2617
5159,2824
4742,2506
1905,2484
1365,2695
8439,2951
4171,2633
5408,2521
7810,2110
2999,2225
8394,2665
1071,2509
2520,2764
9094,2579
6372,2731
7313,2388
4483,2125
5988,2019
2637,2208
10544,2009
6172,2881
5249,2477
10955,2462
6877,2749
6289,2824
5461,2286
7738,2181
10287,2338
8002,2187
8122,2567
2138,2931
2503,2858
1677,2334
4117,2430
7743,2574
3803,2726
2847,2632
6858,2938
7984,2796
6615,2464
1742,2804
3858,2284
8321,2209
3958,2183
4019,2052
4805,2787
1668,2318
4523,2164
6581,2658
4509,2142
8092,2338
4598,2881
10097,2334
4467,2846
3240,2400
1447,2273
2064,2095
10729,2991
1628,2899
10514,2417
2061,2800
5351,2103
9753,2054
9860,2075
4678,2999
8856,2947
8806,2426
7580,2396
10132,2202
6566,2780
5643,2618
8772,2708
7455,2342
3234,2645
9802,2527
7059,2009
2350,2889
3494,2075
1764,2723
8693,2774
7231,2719
2872,2001
5422,2422
9313,2713
1862,2007
7494,2021
4790,2357
9813,2059
9414,2937
8271,2350
2958,2456
7602,2675
5423,2005
5858,2231
4256,2559
9711,2227
9118,2729
9221,2842
8556,2160
9566,2605
1773,2372
2186,2470
4309,2665
8955,2961
6074,2481
9751,2461
3969,2875
3544,2766
6231,2926
2968,2380
5696,2874
2781,2761
4314,2668
8413,2570
5364,2832
10797,2713
3214,2352
4848,2912
6051,2782
10354,2355
4781,2696
2897,2139
9193,2818
10800,2347
6425,2283
7797,2293
6561,2866
1604,2304
10411,2913
6090,2810
4571,2005
3011,2013
3443,2354
10954,2293
10468,2777
4456,2033
8826,2011
1161,2049
9814,2828
7076,2368
7054,2315
7260,2080
10702,2295
2132,2224
9978,2805
1950,2545
9036,2205
10773,2925
4453,2715
2137,2153
4689,2976
10849,2052
9337,2474
7272,2318
3283,2717
2236,2687
9695,2329
5756,2996
1044,2198
8113,2859
1146,2546
3739,2697
3300,2867
3008,2848
3245,2506
5216,2480
4467,2059
5673,2842
7743,2323
1566,2488
7480,2715
3482,2166
7566,2411
2249,2231
2710,2636
5151,2811
8334,2482
1742,2453
10264,2608
3823,2221
7229,2428
10936,2389
8272,2148
2554,2708
10086,2292
6129,2608
9602,2839
5377,2680
3465,2423
7645,2080
8836,2916
8495,2702
9939,2492
6980,2851
2147,2099
8374,2962
5765,2767
9512,2109
9578,2415
7597,2897
7269,2614
5796,2506
10668,2673
7895,2503
6392,2080
3968,2916
2388,2221
2280,2820
6740,2614
2112,2928
1310,2723
8037,2707
7706,2507
8030,2964
7778,2223
1298,2056
1064,2330
9286,2629
6864,2751
7219,2383
9377,2332
5171,2711
10868,2606
7181,2148
1835,2082
6964,2468
5374,2627
10793,2705
3479,2536
9329,2717
8495,2097
1252,2048
1501,2984
7600,2396
2747,2822
10122,2591
10439,2218
10478,2746
3714,2314
7074,2831
7004,2407
8926,2784
7607,2675
4124,2683
9905,2152
3143,2780
6400,2919
9250,2581
1901,2268
2258,2430
5171,2674
3384,2781
1783,2845
8928,2653
3171,2439
1180,2432
1126,2313
4489,2257
7895,2848
6143,2936
5179,2554
8220,2512
3533,2040
7921,2507
8592,2421
8805,2247
3104,2716
8910,2439
6162,2681
1881,2446
10283,2944
5733,2541
1886,2161
7543,2851
4961,2270
8695,2990
5206,2041
1080,2439
1680,2856
3432,2385
3333,2377
2415,2860
7487,2015
4373,2036
7658,2167
6680,2951
8328,2220
3951,2725
9645,2318
1499,2792
5925,2165
9469,2690
9474,2027
1285,2767
8388,2164
7892,2099
4916,2863
6884,2272
4100,2394
1876,2262
8665,2379
10434,2349
5990,2262
6269,2512
6248,2222
10171,2532
4235,2653
10669,2773
6066,2285
9485,2535
9088,2831
9742,2698
7718,2449
2838,2067
8978,2529
8430,2928
4904,2817
3978,2783
3305,2376
1475,2074
2141,2705
9290,2724
3789,2204
8220,2042
7910,2049
3131,2632
9964,2131
9497,2568
3597,2656
3797,2429
4135,2966
5836,2549
3601,2066
6654,2527
2890,2757
9182,2750
5152,2662
10801,2119
7499,2116
2764,2524
9047,2200
6993,2784
7022,2825
9116,2461
3171,2594
9763,2871
3489,2802
7463,2876
4731,2794
4537,2604
5343,2436
4528,2718
5601,2556
4943,2585
2184,2333
2297,2964
3510,2335
4896,2242
6067,2470
4199,2635
6798,2803
2252,2360
7778,2122
8677,2190
1051,2528
8693,2099
5843,2665
9116,2916
2679,2733
8551,2850
4649,2809
10207,2123
10699,2636
7878,2099
6051,2150
9879,2095
7433,2161
2861,2432
2473,2104
10902,2722
2450,2308
2812,2405
1389,2425
5961,2621
3981,2288
2974,2732
7102,2206
3275,2109
7137,2178
1047,2632
7211,2832
6199,2414
7647,2779
6947,2284
2309,2576
2264,2014
7449,2459
3490,2486
10596,2131
9658,2142
7902,2865
10427,2067
10598,2929
10417,2988
2888,2298
5856,2904
6702,2797
2383,2637
4373,2495
10236,2020
1086,2790
6158,2696
3220,2772
4099,2715
10889,2194
2669,2852
6137,2277
1105,2530
2432,2133
1889,2525
6668,2767
3315,2001
5380,2455
6665,2748
7532,2000
8329,2627
5952,2811
6180,2237
2074,2898
1309,2354
5618,2836
9437,2845
5417,2287
2764,2787
10838,2766
8824,2330
3245,2467
7724,2887
2205,2111
1321,2839
10248,2699
6031,2164
5691,2693
3286,2836
7752,2424
6979,2962
4085,2436
8447,2374
5621,2836
1773,2952
9536,2971
1982,2182
9092,2211
10321,2375
7146,2691
4228,2676
10200,2754
4100,2645
7038,2277
1866,2897
2940,2457
